#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,EFF,AST/ TOV,STL/ TOV
45,Buddy Hield,IND,81,2499,1265,446,1098,40.6,262,716,36.6,111,127,87.4,66,287,353,229,73,25,153,184,1124,1.5,0.48
45,Harrison Barnes,SAC,77,2587,1265,391,834,46.9,142,360,39.4,341,413,82.6,82,350,432,186,53,14,118,94,1317,1.58,0.45
47,Reggie Jackson,LAC,75,2337,1263,479,1222,39.2,167,512,32.6,138,163,84.7,39,232,271,359,55,15,173,159,1022,2.08,0.32
48,Tobias Harris,PHI,73,2543,1257,493,1022,48.2,101,275,36.7,170,202,84.2,77,419,496,252,47,43,116,164,1418,2.17,0.41
49,Andrew Wiggins,GSW,73,2330,1256,475,1019,46.6,157,399,39.3,149,235,63.4,85,240,325,161,76,51,111,158,1128,1.45,0.69
50,Bojan Bogdanović,UTA,69,2131,1248,422,928,45.5,181,468,38.7,223,260,85.8,58,238,296,120,34,1,118,116,1038,1.02,0.29
51,Brandon Ingram,NOP,55,1869,1246,453,983,46.1,74,226,32.7,266,322,82.6,35,285,320,307,34,26,151,119,1196,2.03,0.23
52,Jrue Holiday,MIL,67,2207,1225,478,954,50.1,132,321,41.1,137,180,76.1,69,232,301,457,108,29,183,133,1418,2.5,0.59
53,Jimmy Butler,MIA,57,1931,1219,398,829,48.0,27,116,23.3,396,455,87.0,102,234,336,312,94,27,121,88,1377,2.58,0.78
54,Christian Wood,HOU,68,2094,1218,440,878,50.1,131,336,39.0,207,332,62.3,110,576,686,155,54,65,126,171,1489,1.23,0.43
55,Franz Wagner,ORL,79,2429,1197,456,975,46.8,96,271,35.4,189,219,86.3,84,272,356,231,68,34,119,164,1218,1.94,0.57
56,Tyrese Haliburton,IND,77,2694,1181,430,909,47.3,161,389,41.4,160,190,84.2,61,250,311,628,134,49,199,121,1595,3.16,0.67
57,D'Angelo Russell,MIN,65,2077,1176,401,975,41.1,176,518,34.0,198,240,82.5,25,191,216,460,62,22,165,130,1155,2.79,0.38
58,Domantas Sabonis,SAC,62,2136,1171,443,773,57.3,39,125,31.2,246,332,74.1,201,551,752,323,59,27,195,203,1721,1.66,0.3
59,Mikal Bridges,PHX,82,2854,1162,458,858,53.4,115,312,36.9,131,157,83.4,74,273,347,185,96,36,68,150,1332,2.72,1.41
60,Jalen Green,HOU,67,2138,1157,406,954,42.6,157,458,34.3,188,236,79.7,33,193,226,176,44,18,135,103,890,1.3,0.33
61,Kelly Oubre Jr.,CHA,76,1999,1137,410,932,44.0,191,553,34.5,126,189,66.7,79,223,302,84,77,31,67,189,979,1.25,1.15
62,Scottie Barnes,TOR,74,2617,1134,459,932,49.2,58,193,30.1,158,215,73.5,195,362,557,256,80,55,136,192,1416,1.88,0.59
63,Kyle Kuzma,WAS,66,2204,1130,423,936,45.2,128,375,34.1,156,219,71.2,70,491,561,233,42,57,169,128,1278,1.38,0.25
64,Aaron Gordon,DEN,75,2375,1126,434,834,52.0,87,260,33.5,171,230,74.3,125,314,439,188,44,44,133,148,1249,1.41,0.33
65,Evan Fournier,NYK,80,2358,1125,402,965,41.7,241,619,38.9,80,113,70.8,34,176,210,171,79,20,105,180,904,1.63,0.75
66,Cade Cunningham,DET,64,2088,1114,429,1031,41.6,114,363,31.4,142,168,84.5,58,296,354,356,78,43,234,200,1083,1.52,0.33
67,Bam Adebayo,MIA,56,1825,1068,406,729,55.7,0,6,0.0,256,340,75.3,137,427,564,190,80,44,148,171,1391,1.28,0.54
68,Cole Anthony,ORL,65,2059,1062,357,912,39.1,132,391,33.8,216,253,85.4,32,316,348,369,46,17,170,171,1080,2.17,0.27
69,Bobby Portis,MIL,72,2028,1052,417,871,47.9,133,338,39.3,85,113,75.2,180,477,657,86,53,51,90,174,1327,0.96,0.59
70,Malik Monk,LAL,76,2138,1048,391,826,47.3,173,442,39.1,93,117,79.5,37,219,256,218,61,29,122,138,1031,1.79,0.5
71,Will Barton,DEN,71,2276,1043,392,896,43.8,157,430,36.5,102,127,80.3,44,296,340,276,55,31,127,114,1089,2.17,0.43
72,Evan Mobley,CLE,69,2331,1034,422,830,50.8,23,92,25.0,167,252,66.3,143,427,570,174,56,115,133,147,1323,1.31,0.42
73,Kristaps Porziņģis,WAS,51,1481,1030,352,767,45.9,78,252,31.0,248,286,86.7,102,309,411,119,37,84,81,137,1147,1.47,0.46
74,Rudy Gobert,UTA,66,2120,1027,362,508,71.3,0,4,0.0,303,439,69.0,241,727,968,72,45,137,119,176,1848,0.6,0.38
75,Kentavious Caldwell-Pope,WAS,77,2329,1018,361,829,43.5,159,408,39.0,137,154,89.0,41,220,261,145,83,26,97,139,951,1.5,0.86
76,Kevin Love,CLE,74,1665,1007,327,761,43.0,187,477,39.2,166,198,83.8,87,449,536,160,26,18,98,101,1183,1.63,0.27
77,Deandre Ayton,PHX,58,1713,997,442,697,63.4,7,19,36.8,106,142,74.6,149,444,593,84,40,40,91,142,1372,0.92,0.44
78,Derrick White,BOS,75,2199,992,337,800,42.1,115,369,31.2,203,235,86.4,38,223,261,366,64,58,119,172,1127,3.08,0.54
79,Anfernee Simons,POR,57,1681,988,353,797,44.3,179,442,40.5,103,116,88.8,26,125,151,221,30,6,115,110,824,1.92,0.26
80,Caris LeVert,CLE,58,1780,986,379,854,44.4,82,256,32.0,146,193,75.6,43,171,214,248,51,23,108,131,892,2.3,0.47
80,Mike Conley,UTA,72,2058,986,344,791,43.5,169,414,40.8,129,162,79.6,47,170,217,385,96,21,123,142,1102,3.13,0.78
82,Seth Curry,BKN,64,2134,960,360,739,48.7,158,374,42.2,82,94,87.2,21,179,200,230,53,14,109,148,957,2.11,0.49
83,Chris Paul,PHX,65,2139,958,363,736,49.3,63,199,31.7,169,202,83.7,22,261,283,702,121,20,153,134,1525,4.59,0.79
84,Malik Beasley,MIN,79,1976,953,332,850,39.1,240,637,37.7,49,60,81.7,26,201,227,116,43,12,43,88,779,2.7,1.0
85,Bogdan Bogdanović,ATL,63,1849,950,342,794,43.1,169,459,36.8,97,115,84.3,29,221,250,194,68,14,70,132,936,2.77,0.97
86,Kevin Porter Jr.,HOU,61,1907,949,335,808,41.5,155,413,37.5,124,193,64.2,43,224,267,376,69,22,192,156,949,1.96,0.36
87,Monté Morris,DEN,75,2239,945,374,773,48.4,124,314,39.5,73,84,86.9,27,199,226,333,56,14,78,92,1086,4.27,0.72
88,Alec Burks,NYK,81,2318,944,285,728,39.1,157,389,40.4,217,264,82.2,47,350,397,239,85,26,91,215,1110,2.63,0.93
89,Montrezl Harrell,CHA,71,1640,932,358,555,64.5,4,17,23.5,212,296,71.6,149,282,431,145,29,43,72,137,1227,2.01,0.4
90,Wendell Carter Jr.,ORL,62,1852,931,359,684,52.5,70,214,32.7,143,207,69.1,139,509,648,171,36,43,117,169,1323,1.46,0.31
91,Bradley Beal,WAS,40,1439,928,348,771,45.1,63,210,30.0,169,203,83.3,38,151,189,265,36,15,135,95,841,1.96,0.27
92,Anthony Davis,LAL,40,1404,927,370,695,53.2,13,70,18.6,174,244,71.3,106,288,394,122,49,90,82,97,1105,1.49,0.6
93,Patty Mills,BKN,81,2346,923,324,794,40.8,227,568,40.0,48,59,81.4,18,138,156,183,51,17,73,112,776,2.51,0.7
94,Carmelo Anthony,LAL,69,1793,919,319,723,44.1,149,397,37.5,132,159,83.0,62,226,288,68,47,52,59,166,884,1.15,0.8
94,Jae'Sean Tate,HOU,78,2056,919,363,729,49.8,63,202,31.2,130,184,70.7,135,285,420,222,72,41,139,286,1115,1.6,0.52
94,Spencer Dinwiddie,DAL,67,1981,919,306,735,41.6,112,330,33.9,195,252,77.4,45,234,279,346,44,13,104,150,1011,3.33,0.42
97,Jakob Poeltl,SAS,68,1970,915,410,663,61.8,1,1,100.0,94,190,49.5,262,372,634,189,45,118,109,212,1443,1.73,0.41
98,Jarrett Allen,CLE,56,1810,904,369,545,67.7,1,10,10.0,165,233,70.8,192,410,602,92,44,75,94,97,1379,0.98,0.47
98,Jerami Grant,DET,47,1500,904,298,699,42.6,91,254,35.8,217,259,83.8,28,163,191,111,44,49,85,107,771,1.31,0.52
100,Devonte' Graham,NOP,76,2162,902,296,815,36.3,192,563,34.1,118,140,84.3,37,140,177,316,71,12,105,95,832,3.01,0.68
101,Lauri Markkanen,CLE,61,1878,900,313,703,44.5,136,380,35.8,138,159,86.8,59,286,345,81,45,30,54,130,936,1.5,0.83
102,Kevin Huerter,ATL,74,2188,892,345,760,45.4,160,411,38.9,42,52,80.8,32,222,254,203,55,26,91,185,914,2.23,0.6
103,Immanuel Quickley,NYK,78,1802,882,284,724,39.2,137,396,34.6,177,201,88.1,31,216,247,275,54,3,99,167,898,2.78,0.55
104,Dorian Finney-Smith,DAL,80,2644,880,326,692,47.1,172,435,39.5,56,83,67.5,122,253,375,150,88,39,80,183,1059,1.88,1.1
105,Luguentz Dort,OKC,51,1665,877,293,726,40.4,130,391,33.2,161,191,84.3,38,174,212,88,46,18,88,149,690,1.0,0.52
106,John Collins,ATL,54,1663,876,339,644,52.6,64,176,36.4,134,169,79.3,93,329,422,98,33,56,60,164,1085,1.63,0.55
107,Devin Vassell,SAS,71,1937,872,326,764,42.7,137,380,36.1,83,99,83.8,44,262,306,136,76,41,58,143,919,2.35,1.31
107,Terance Mann,LAC,81,2317,872,334,690,48.4,76,208,36.5,128,164,78.0,104,321,425,209,55,21,84,178,1106,2.49,0.66
109,Dennis Schröder,HOU,64,1838,867,312,724,43.1,86,250,34.4,157,184,85.3,34,180,214,296,53,8,143,154,856,2.07,0.37
110,Duncan Robinson,MIA,79,2043,863,290,726,39.9,232,624,37.2,51,61,83.6,24,179,203,129,42,14,60,201,745,2.15,0.7
111,Davion Mitchell,SAC,75,2076,861,352,843,41.8,101,320,31.6,56,85,65.9,33,133,166,313,55,24,114,141,785,2.75,0.48
111,Marcus Smart,BOS,71,2296,861,300,718,41.8,119,360,33.1,142,179,79.3,42,228,270,417,119,18,159,160,1071,2.62,0.75
113,Norman Powell,LAC,45,1458,853,279,605,46.1,106,253,41.9,189,233,81.1,20,125,145,96,42,21,69,106,718,1.39,0.61
114,Lonnie Walker IV,SAS,70,1612,849,311,764,40.7,111,353,31.4,116,148,78.4,18,163,181,152,44,19,71,98,689,2.14,0.62
115,Kyle Lowry,MIA,63,2133,844,276,627,44.0,144,382,37.7,148,174,85.1,33,249,282,474,67,17,168,177,1139,2.82,0.4
116,Jusuf Nurkić,POR,56,1578,842,321,600,53.5,15,56,26.8,185,268,69.0,167,452,619,157,62,34,143,189,1209,1.1,0.43
117,Luke Kennard,LAC,70,1919,833,287,639,44.9,190,423,44.9,69,77,89.6,20,209,229,146,42,6,60,101,836,2.43,0.7
118,Marcus Morris Sr.,LAC,54,1564,830,300,691,43.4,101,275,36.7,129,148,87.2,26,213,239,113,28,18,69,115,749,1.64,0.41
119,Cameron Johnson,PHX,66,1730,822,279,607,46.0,166,391,42.5,98,114,86.0,42,231,273,99,57,16,47,113,876,2.11,1.21
119,OG Anunoby,TOR,48,1728,822,309,697,44.3,115,317,36.3,89,118,75.4,74,190,264,125,71,25,80,131,810,1.56,0.89
121,Clint Capela,ATL,74,2042,820,370,604,61.3,0,1,0.0,80,169,47.3,279,598,877,92,55,93,44,166,1570,2.09,1.25
122,Josh Hart,POR,54,1791,807,287,569,50.4,73,213,34.3,160,211,75.8,62,326,388,224,61,13,114,150,1046,1.97,0.54
123,Kyrie Irving,BKN,29,1092,796,289,616,46.9,100,239,41.8,118,129,91.5,16,111,127,167,41,17,73,81,737,2.29,0.56
124,De'Anthony Melton,MEM,73,1657,791,281,695,40.4,139,372,37.4,90,120,75.0,64,264,328,194,104,39,112,128,900,1.73,0.93
125,Trey Lyles,SAC,75,1536,786,262,562,46.6,67,209,32.1,195,243,80.2,89,290,379,88,29,32,73,123,893,1.21,0.4
126,Ivica Zubac,LAC,76,1852,785,310,495,62.6,0,0,0.0,165,227,72.7,217,427,644,120,36,77,114,203,1301,1.05,0.32
127,Gordon Hayward,CHA,49,1564,778,283,617,45.9,86,220,39.1,126,149,84.6,38,186,224,177,47,22,81,85,810,2.19,0.58
128,Coby White,CHI,61,1675,772,279,644,43.3,136,353,38.5,78,91,85.7,17,165,182,176,29,11,70,137,722,2.51,0.41
128,Jeff Green,DEN,75,1849,772,277,529,52.4,53,168,31.5,165,198,83.3,41,190,231,96,28,27,71,151,798,1.35,0.39
130,Danilo Gallinari,ATL,66,1672,771,259,597,43.4,112,294,38.1,141,156,90.4,35,273,308,101,28,12,38,93,829,2.66,0.74
131,Eric Gordon,HOU,57,1670,765,268,564,47.5,124,301,41.2,105,135,77.8,15,98,113,154,28,18,107,63,645,1.44,0.26
132,Mo Bamba,ORL,71,1824,756,296,617,48.0,107,281,38.1,57,73,78.1,148,424,572,85,38,118,77,182,1155,1.1,0.49
133,Chris Boucher,TOR,80,1690,754,268,577,46.4,68,229,29.7,150,193,77.7,179,315,494,25,49,75,42,174,1003,0.59,1.17
133,Paul George,LAC,31,1077,754,268,636,42.1,91,257,35.4,127,148,85.8,12,201,213,176,67,13,126,74,708,1.4,0.53
135,Justin Holiday,SAC,74,2057,749,261,662,39.4,177,482,36.7,50,62,80.6,29,161,190,128,57,33,70,154,674,1.83,0.81
136,Darius Bazley,OKC,69,1924,745,274,649,42.2,80,269,29.7,117,170,68.8,71,365,436,97,58,70,90,68,888,1.08,0.64
137,Herbert Jones,NOP,78,2335,742,274,576,47.6,57,169,33.7,137,163,84.0,98,198,296,167,130,60,100,238,967,1.67,1.3
138,Grayson Allen,MIL,66,1805,733,255,569,44.8,159,389,40.9,64,74,86.5,32,190,222,100,46,18,43,96,752,2.33,1.07
139,Max Strus,MIA,68,1587,721,249,564,44.1,181,442,41.0,42,53,79.2,24,178,202,92,28,16,57,116,676,1.61,0.49
140,Chris Duarte,IND,55,1541,720,268,621,43.2,94,255,36.9,90,112,80.4,41,185,226,114,56,10,90,95,661,1.27,0.62
141,Dwight Powell,DAL,82,1798,717,269,401,67.1,13,37,35.1,166,212,78.3,173,231,404,97,37,39,64,220,1052,1.52,0.58
142,Cedi Osman,CLE,66,1462,709,247,572,43.2,128,359,35.7,87,131,66.4,25,121,146,135,52,10,67,127,616,2.02,0.78
142,De'Andre Hunter,ATL,53,1577,709,254,575,44.2,74,195,37.9,127,166,76.5,26,150,176,68,36,21,69,155,581,0.99,0.52
144,Al Horford,BOS,69,2005,701,266,569,46.7,89,265,33.6,80,95,84.2,108,422,530,232,49,92,65,130,1221,3.57,0.75
145,Georges Niang,PHI,76,1736,700,246,563,43.7,156,387,40.3,52,59,88.1,25,178,203,102,30,13,59,190,665,1.73,0.51
146,Bones Hyland,DEN,69,1310,698,230,571,40.3,131,358,36.6,107,125,85.6,14,174,188,191,41,20,86,153,693,2.22,0.48
147,KJ Martin,HOU,79,1656,696,279,523,53.3,60,168,35.7,78,123,63.4,80,217,297,101,34,40,60,113,819,1.68,0.57
148,Damian Lillard,POR,29,1056,695,222,552,40.2,92,284,32.4,159,181,87.8,13,107,120,212,17,11,83,37,620,2.55,0.2
149,Alperen Sengun,HOU,72,1489,692,249,525,47.4,29,117,24.8,165,232,71.1,138,255,393,185,59,68,145,214,909,1.28,0.41
149,Nickeil Alexander-Walker,UTA,65,1466,692,253,680,37.2,105,338,31.1,81,109,74.3,37,150,187,156,46,23,93,103,556,1.68,0.49
151,Malcolm Brogdon,IND,36,1206,687,243,543,44.8,58,186,31.2,143,167,85.6,33,152,185,212,30,14,77,71,727,2.75,0.39
152,Deni Avdija,WAS,82,1984,685,250,579,43.2,82,259,31.7,103,136,75.7,52,373,425,167,59,44,87,190,931,1.92,0.68
153,JaVale McGee,PHX,74,1172,680,288,458,62.9,2,9,22.2,102,146,69.9,163,333,496,42,22,81,98,181,1009,0.43,0.22
154,Ayo Dosunmu,CHI,77,2110,679,278,535,52.0,70,186,37.6,53,78,67.9,27,187,214,256,60,29,108,182,848,2.37,0.56
154,Gary Harris,ORL,61,1730,679,240,553,43.4,116,302,38.4,83,95,87.4,36,86,122,108,59,9,61,112,591,1.77,0.97
156,Daniel Gafford,WAS,72,1444,677,285,411,69.3,0,1,0.0,107,153,69.9,155,252,407,68,30,99,65,170,1044,1.05,0.46
157,Josh Giddey,OKC,54,1700,674,281,670,41.9,56,213,26.3,56,79,70.9,98,323,421,345,51,20,171,88,928,2.02,0.3
158,P.J. Washington,CHA,65,1768,668,250,532,47.0,110,301,36.5,58,81,71.6,82,255,337,147,57,61,82,152,883,1.79,0.69
159,Brandon Clarke,MEM,64,1246,666,288,447,64.4,5,22,22.7,85,130,65.4,135,207,342,86,39,68,34,122,963,2.53,1.15
159,Josh Richardson,SAS,65,1600,666,234,534,43.8,102,246,41.5,96,108,88.9,42,143,185,115,56,29,66,116,673,1.74,0.85
161,Precious Achiuwa,TOR,73,1725,664,265,603,43.9,56,156,35.9,78,131,59.5,146,327,473,82,37,41,84,151,822,0.98,0.44
162,Bryn Forbes,DEN,75,1286,663,231,539,42.9,122,295,41.4,79,87,90.8,10,83,93,75,25,5,56,95,489,1.34,0.45
163,Ben McLemore,POR,64,1285,655,216,539,40.1,151,417,36.2,72,88,81.8,12,91,103,59,38,10,55,103,471,1.07,0.69
164,Jaxson Hayes,NOP,70,1398,654,245,398,61.6,20,57,35.1,144,188,76.6,115,200,315,43,33,55,54,155,849,0.8,0.61
165,Jonathan Kuminga,GSW,70,1185,652,236,460,51.3,50,149,33.6,130,190,68.4,54,180,234,64,31,22,74,146,645,0.86,0.42
165,Klay Thompson,GSW,32,941,652,246,573,42.9,114,296,38.5,46,51,90.2,15,110,125,88,16,17,43,54,523,2.05,0.37
167,Garrison Mathews,HOU,65,1712,650,184,461,39.9,139,386,36.0,143,180,79.4,32,158,190,64,57,24,41,168,630,1.56,1.39
168,Obi Toppin,NYK,72,1230,648,251,473,53.1,52,169,30.8,94,124,75.8,69,199,268,77,25,33,56,102,743,1.38,0.45
169,Bruce Brown,BKN,72,1774,647,256,506,50.6,38,94,40.4,97,128,75.8,100,245,345,148,77,52,56,176,932,2.64,1.38
169,Jaden McDaniels,MIN,70,1803,647,255,554,46.0,80,252,31.7,57,71,80.3,76,217,293,79,52,54,75,224,737,1.05,0.69
171,Pat Connaughton,MIL,65,1691,645,227,496,45.8,146,370,39.5,45,54,83.3,45,228,273,82,59,15,35,86,761,2.34,1.69
172,Naz Reid,MIN,77,1215,637,233,476,48.9,57,166,34.3,114,149,76.5,102,199,301,71,40,71,82,172,760,0.87,0.49
173,Hamidou Diallo,DET,58,1269,636,261,526,49.6,23,93,24.7,91,140,65.0,69,208,277,73,71,17,58,143,702,1.26,1.22
174,Corey Kispert,WAS,77,1801,634,234,514,45.5,112,320,35.0,54,62,87.1,53,156,209,85,35,22,50,93,647,1.7,0.7
175,Jae Crowder,PHX,67,1886,632,217,544,39.9,127,365,34.8,71,90,78.9,30,324,354,124,95,30,55,173,834,2.25,1.73
175,Tyus Jones,MEM,73,1549,632,249,552,45.1,80,205,39.0,54,66,81.8,17,159,176,324,66,2,46,32,839,7.04,1.44
177,Terrence Ross,ORL,63,1448,629,220,554,39.7,77,264,29.2,112,130,86.2,20,141,161,116,28,12,75,68,519,1.55,0.37
178,Cameron Payne,PHX,58,1278,626,240,587,40.9,71,211,33.6,75,89,84.3,24,151,175,282,40,17,103,119,676,2.74,0.39
179,Tre Mann,OKC,60,1367,625,231,588,39.3,98,272,36.0,65,82,79.3,25,146,171,91,47,12,71,102,501,1.28,0.66
180,Amir Coffey,LAC,69,1567,619,211,466,45.3,96,254,37.8,101,117,86.3,26,171,197,124,38,15,45,87,677,2.76,0.84
181,Oshae Brissett,IND,67,1564,613,208,506,41.1,83,237,35.0,114,164,69.5,108,250,358,72,44,29,54,116,714,1.33,0.81
182,Mitchell Robinson,NYK,72,1848,610,261,343,76.1,0,0,0.0,88,181,48.6,295,322,617,38,58,133,60,195,1221,0.63,0.97
183,LaMarcus Aldridge,BKN,47,1050,607,252,458,55.0,14,46,30.4,89,102,87.3,73,185,258,42,14,47,44,78,705,0.95,0.32
183,Robert Williams III,BOS,61,1804,607,271,368,73.6,0,1,0.0,65,90,72.2,238,350,588,121,56,134,63,137,1321,1.92,0.89
185,Chuma Okeke,ORL,70,1749,605,216,575,37.6,118,371,31.8,55,65,84.6,47,300,347,118,97,42,57,95,783,2.07,1.7
186,Robert Covington,LAC,71,1940,604,209,498,42.0,128,339,37.8,58,69,84.1,59,332,391,92,103,91,75,190,906,1.23,1.37
187,Grant Williams,BOS,77,1875,602,205,432,47.5,106,258,41.1,86,95,90.5,64,210,274,78,38,57,62,186,751,1.26,0.61
188,Tim Hardaway Jr.,DAL,42,1245,598,209,530,39.4,102,304,33.6,78,103,75.7,13,143,156,92,38,6,34,74,510,2.71,1.12
189,Talen Horton-Tucker,LAL,60,1511,597,224,538,41.6,49,182,26.9,100,125,80.0,37,156,193,159,59,29,82,148,616,1.94,0.72
